healthcare spending,2010,2011,2012,2013,2014,2015,2016,2017,2018,Notes,,,,,,,,,
Germany,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82927922,,,,,,,,,,
India,1234281170,1250288729,1265782790,1280846129,1295604184,1310152403,1324509589,1338658835,1352617328,,,,,,,,,,
Indonesia,241834215,245116206,248452413,251806402,255129004,258383256,261554226,264645886,267663435,,,,,,,,,,
Italy,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60431283,,,,,,,,,,
Japan,128070000,127833000,127629000,127445000,127276000,127141000,126994511,126785797,126529100,,,,,,,,,,
Korea,49554112,49936638,50199853,50428893,50746659,51014947,51245707,51466201,51635256,,,,,,,,,,
Mexico,114092963,115695473,117274155,118827161,120355128,121858258,123333376,124777324,126190788,,,,,,,,,,
Russia,142849449,142960868,143201676,143506911,143819666,144096870,144342396,144496740,144478050,,,,,,,,,,
Saudi Arabia,27421461,28267685,29155187,30052518,30916994,31717667,32442572,33099147,33699947,,,,,,,,,,
South Africa,51216964,52004172,52834005,53689236,54545991,55386367,56203654,57000451,57779622,,,,,,,,,,
Turkey,72326988,73443863,74653016,75928564,77231907,78529409,79821724,81101892,82319724,,,,,,,,,,
United Kingdom,62766365,63258918,63700300,64128226,64613160,65128861,65595565,66058859,66488991,,,,,,,,,,
United States,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Healthcare Spending Nominal,,,,,,,,,,,,,,,,,,,
Argentina,36,44,48,51,46,56,42,43,42,Billions,,,,,,,,,
Australia,79,85,88,95,98,104,110,118,125,Billions,,,,,,,,,
Brazil,193,206,219,238,260,262,264,277,289,Billions,,,,,,,,,
Canada,142,145,149,153,158,162,170,176,184,Billions,,,,,,,,,
China,471,559,651,734,804,878,949,1032,1112,Billions,,,,,,,,,
France,263,272,283,301,308,311,324,330,333,Billions,,,,,,,,,
Germany,361,366,381,399,416,432,457,483,496,Billions,,,,,,,,,
India,180,190,207,241,246,254,277,294,312,Billions,,,,,,,,,
Indonesia,51,57,61,65,73,72,79,83,88,Billions,,,,,,,,,
Italy,184,184,185,186,187,190,198,204,207,Billions,,,,,,,,,
Japan,406,478,507,549,551,574,573,587,603,Billions,,,,,,,,,
Korea,94,99,104,108,113,127,137,148,165,Billions,,,,,,,,,
Mexico,106,109,118,122,121,131,131,138,144,Billions,,,,,,,,,
Russia,172,194,215,202,217,205,205,219,222,Billions,,,,,,,,,
Saudi Arabia,19,25,30,33,40,39,37,40,43,Billions,,,,,,,,,
South Africa,44,48,51,53,57,60,60,63,66,Billions,,,,,,,,,
Turkey,61,65,67,72,78,82,90,96,101,Billions,,,,,,,,,
United Kingdom,180,184,189,229,237,241,251,260,271,Billions,,,,,,,,,
United States,2456,2541,2644,2727,2879,3049,3200,3319,3463,Billions,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Healthcare Nominal,Argentina,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,Korea,Mexico,Russia,Saudi Arabia,South Africa,Turkey,United Kingdom,United States
2010,36,79,193,142,471,263,361,180,51,184,406,94,106,172,19,44,61,180,2456
2011,44,85,206,145,559,272,366,190,57,184,478,99,109,194,25,48,65,184,2541
2012,48,88,219,149,651,283,381,207,61,185,507,104,118,215,30,51,67,189,2644
2013,51,95,238,153,734,301,399,241,65,186,549,108,122,202,33,53,72,229,2727
2014,46,98,260,158,804,308,416,246,73,187,551,113,121,217,40,57,78,237,2879
2015,56,104,262,162,878,311,432,254,72,190,574,127,131,205,39,60,82,241,3049
2016,42,110,264,170,949,324,457,277,79,198,573,137,131,205,37,60,90,251,3200
2017,43,118,277,176,1032,330,483,294,83,204,587,148,138,219,40,63,96,260,3319
2018,42,125,289,184,1112,333,496,312,88,207,603,165,144,222,43,66,101,271,3463
,,,,,,,,,,,,,,,,,,,
GDP,,,,,,,,,,,,,,,,,,,
Argentina,4.24E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.58E+11,6.43E+11,5.20E+11,,,,,,,,,,
Australia,1.15E+12,1.40E+12,1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12,1.43E+12,,,,,,,,,,
Brazil,2.21E+12,2.62E+12,2.47E+12,2.47E+12,2.46E+12,1.80E+12,1.80E+12,2.05E+12,1.87E+12,,,,,,,,,,
Canada,1.61E+12,1.79E+12,1.82E+12,1.84E+12,1.80E+12,1.55E+12,1.53E+12,1.65E+12,1.71E+12,,,,,,,,,,
China,6.09E+12,7.55E+12,8.53E+12,9.57E+12,1.04E+13,1.10E+13,1.11E+13,1.21E+13,1.36E+13,,,,,,,,,,
France,3.40E+12,3.74E+12,3.53E+12,3.73E+12,3.88E+12,3.36E+12,3.47E+12,3.66E+12,3.95E+12,,,,,,,,,,
